year,category,winner,entity,First Name,Last Name,ID Number
2008,ACTOR IN A LEADING ROLE,True,Sean Penn,Sean,Penn,2228
2008,ACTRESS IN A LEADING ROLE,True,Kate Winslet,Kate,Winslet,204
2009,ACTOR IN A LEADING ROLE,True,Jeff Bridges,Jeff,Bridges,1229
2009,ACTRESS IN A LEADING ROLE,True,Sandra Bullock,Sandra,Bullock,18277
2010,ACTOR IN A LEADING ROLE,True,Colin Firth,Colin,Firth,5472
2010,ACTRESS IN A LEADING ROLE,True,Natalie Portman,Natalie,Portman,524
2011,ACTOR IN A LEADING ROLE,True,Jean Dujardin,Jean,Dujardin,56024
2011,ACTRESS IN A LEADING ROLE,True,Meryl Streep,Meryl,Streep,5064
2012,ACTOR IN A LEADING ROLE,True,Daniel Day-Lewis,Daniel,Day-Lewis,11856
2012,ACTRESS IN A LEADING ROLE,True,Jennifer Lawrence,Jennifer,Lawrence,72129
2013,ACTOR IN A LEADING ROLE,True,Matthew McConaughey,Matthew,McConaughey,10297
2013,ACTRESS IN A LEADING ROLE,True,Cate Blanchett,Cate,Blanchett,112
2014,ACTOR IN A LEADING ROLE,True,Eddie Redmayne,Eddie,Redmayne,37632
2014,ACTRESS IN A LEADING ROLE,True,Julianne Moore,Julianne,Moore,1231
2015,ACTOR IN A LEADING ROLE,True,Leonardo DiCaprio,Leonardo,DiCaprio,6193
2015,ACTRESS IN A LEADING ROLE,True,Brie Larson,Brie,Larson,60073
2016,ACTOR IN A LEADING ROLE,True,Casey Affleck,Casey,Affleck,1893
2016,ACTRESS IN A LEADING ROLE,True,Emma Stone,Emma,Stone,54693
2017,ACTOR IN A LEADING ROLE,True,Gary Oldman,Gary,Oldman,64
2017,ACTRESS IN A LEADING ROLE,True,Frances McDormand,Frances,McDormand,3910
